experiment,time,t,p,level1,level2,diff_mean,diff_std,dof,p_corrected,star
ATT,1,3.4197417489408726,0.0006283214405681768,confidence,awareness,0.05693285972674845,1.5140141632866748,8267.153881571765,0.007539857286818122,**
ATT,1,2.1860653363201883,0.028824733772796148,confidence,correctness,0.0384369665739237,1.6160856224378468,8416.47340854237,0.34589680527355376,n.s.
ATT,4,-1.0857387975317265,0.27761033734109103,awareness,confidence,-0.01802680645401131,1.513644593367904,8306.520144238675,1.0,n.s.
ATT,1,1.032573275708349,0.30181844608400643,correctness,awareness,0.01849589315282474,1.6519806772488845,8490.638179516576,1.0,n.s.
ATT,4,-0.9694012898584534,0.33235883361716767,awareness,correctness,-0.01733343335444056,1.6543198800978793,8547.142467328946,1.0,n.s.
ATT,3,0.6630391938513811,0.5073146301628497,confidence,correctness,0.011673055400719331,1.6210560295215592,8445.395802263909,1.0,n.s.
ATT,3,0.6150956154512686,0.5384999792565982,confidence,awareness,0.01024960190898891,1.5221939462401313,8339.17339326988,1.0,n.s.
ATT,2,0.4272766524841432,0.6691832507303068,correctness,awareness,0.007671487591991539,1.6619598145213461,8558.727638038225,1.0,n.s.
ATT,2,0.2628015766375726,0.7927067728950878,correctness,confidence,0.004622628930788389,1.6187756378183291,8437.78487245904,1.0,n.s.
ATT,2,0.18285504444708495,0.8549139827500203,confidence,awareness,0.00304885866120315,1.523061969039204,8338.365751930485,1.0,n.s.
ATT,3,-0.07921812623979096,0.936860059860123,correctness,awareness,-0.0014234534917304201,1.6639261915165473,8564.31244528471,1.0,n.s.
ATT,4,-0.03946601727557795,0.9685193200209602,correctness,confidence,-0.0006933730995707498,1.6165312190576293,8431.71343708638,1.0,n.s.
POS,1,14.59687777851663,5.923112196403647e-48,confidence,correctness,0.23349733878826265,1.4543183161289912,8265.698056303805,7.107734635684377e-47,***
POS,1,8.94827402603284,3.9915194467915643e-19,awareness,correctness,0.1451247913971927,1.4744238688255318,8264.929888541405,4.789823336149877e-18,***
POS,1,5.8610087291274295,4.6882641723644146e-09,confidence,awareness,0.08837254739106995,1.3708191166843657,8265.54627085245,5.625917006837297e-08,***
POS,2,5.6807953466092425,1.3637043813706056e-08,confidence,correctness,0.0910063143625762,1.4564292384655186,8265.304156257915,1.6364452576447268e-07,***
POS,4,3.0081358543741388,0.0026325867081755335,confidence,correctness,0.048145458973520204,1.4551361762783992,8265.993012654195,0.031591040498106404,*
POS,2,3.0029991078587828,0.002677375549741948,awareness,correctness,0.0488219581951853,1.4779834216281114,8264.537938801626,0.032128506596903375,*
POS,2,2.7887546015219793,0.005297170711071019,confidence,awareness,0.0421843561673909,1.3752041902516006,8265.20202973266,0.06356604853285223,n.s.
POS,3,2.4817333498151455,0.013084559629576083,confidence,correctness,0.03978806152197148,1.4575776677394325,8265.54160355816,0.157014715554913,n.s.
POS,4,1.8160013177206717,0.06938849056064776,awareness,correctness,0.0294463016882096,1.4741464712295838,8265.135700161774,0.8326618867277731,n.s.
POS,3,1.4251352789358172,0.15413700403851807,confidence,awareness,0.021557102492654204,1.3751812164231736,8265.18666057295,1.0,n.s.
POS,4,1.2390452039994486,0.21534636714230657,confidence,awareness,0.018699157285310603,1.3720567045649414,8265.624856670429,1.0,n.s.
POS,3,1.1206369168039085,0.26245891247273345,awareness,correctness,0.01823095902931728,1.4789732833689777,8264.74557178571,1.0,n.s.
