model,pval,score_mean,score_std,test,train,window,p_corrected
LogisticRegression,0.0004997501249375311,0.5845626125501453,0.0036969577763153664,POS,ATT,0,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5614354378564341,0.004517817689860583,POS,ATT,1,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5329869403032917,0.0077624092978810285,POS,ATT,2,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5109878961808806,0.01787953878073845,POS,ATT,3,0.0024987506246876554
LogisticRegression,1.0,0.4642106573115086,0.007858059735775589,POS,ATT,4,1.0
LogisticRegression,0.0004997501249375311,0.5919986135567492,0.004453962327399326,ATT,POS,0,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5424110131271727,0.0038471427771571117,ATT,POS,1,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5111302279496794,0.004140815833116955,ATT,POS,2,0.0024987506246876554
LogisticRegression,0.0004997501249375311,0.5034007585655158,0.003972372044664633,ATT,POS,3,0.0024987506246876554
LogisticRegression,1.0,0.4885722096577072,0.004049705006780989,ATT,POS,4,1.0
RandomForestClassifier,0.0004997501249375311,0.5853795205456797,0.0035380498620052538,POS,ATT,0,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5610187032566212,0.004179918109797957,POS,ATT,1,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5370170338950082,0.005599305519326114,POS,ATT,2,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5176545910831317,0.021012743749243147,POS,ATT,3,0.0024987506246876554
RandomForestClassifier,1.0,0.4610381058571398,0.006875964023221518,POS,ATT,4,1.0
RandomForestClassifier,0.0004997501249375311,0.5939637769486711,0.003623583602884173,ATT,POS,0,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5426626119853782,0.003837005022899383,ATT,POS,1,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5105978549650849,0.004096845185722032,ATT,POS,2,0.0024987506246876554
RandomForestClassifier,0.0004997501249375311,0.5041682350937406,0.004064443280981071,ATT,POS,3,0.0024987506246876554
RandomForestClassifier,1.0,0.4886803257240148,0.0040997311648657145,ATT,POS,4,1.0
